date,country,rank,topic,popularity,raw,source
2016-04-01,us,1,#sportstank,,#sportstank,trend-calendar
2016-04-01,us,2,#LoganSymposium2016,,#LoganSymposium2016,trend-calendar
2016-04-01,us,3,#WWOBackstage,,#WWOBackstage,trend-calendar
2016-04-02,us,1,#REININGAYDAY,,#REININGAYDAY,trend-calendar
2016-04-02,us,2,#WNITChampionship,,#WNITChampionship,trend-calendar
2016-04-02,us,3,#NCAAGYM,,#NCAAGYM,trend-calendar
2016-04-03,us,1,#CHAatCLE,,#CHAatCLE,trend-calendar
2016-04-03,us,2,#CavsHornets,,#CavsHornets,trend-calendar
2016-04-03,us,3,#FoundOrbitingEarth,,#FoundOrbitingEarth,trend-calendar
2016-04-04,us,1,#flippinfamgirlsareconfident,,#flippinfamgirlsareconfident,trend-calendar
2016-04-04,us,2,#makeGEpay,,#makeGEpay,trend-calendar
2016-04-04,us,3,#Env16,,#Env16,trend-calendar
2016-04-05,us,1,#ewgc,,#ewgc,trend-calendar
2016-04-05,us,2,#NPRHowWeEat,,#NPRHowWeEat,trend-calendar
2016-04-05,us,3,#Iceland,,#Iceland,trend-calendar
2016-04-06,us,1,#QuedateConQuien,,#QuedateConQuien,trend-calendar
2016-04-06,us,2,#askwillow,,#askwillow,trend-calendar
2016-04-06,us,3,#GSMCON2016,,#GSMCON2016,trend-calendar
2016-04-07,us,1,#AdamSalehNEWVIDEO,,#AdamSalehNEWVIDEO,trend-calendar
2016-04-07,us,2,#trailtime,,#trailtime,trend-calendar
2016-04-07,us,3,#MambaDay,,#MambaDay,trend-calendar
2016-04-08,us,1,#SNDSF,,#SNDSF,trend-calendar
2016-04-08,us,2,#MarinersOpener,,#MarinersOpener,trend-calendar
2016-04-08,us,3,#WorkerVoice,,#WorkerVoice,trend-calendar
2016-04-09,us,1,#MLPSeason6,,#MLPSeason6,trend-calendar
2016-04-09,us,2,#IowaCityToRio,,#IowaCityToRio,trend-calendar
2016-04-09,us,3,#VzlaRepudiaAlChavismo,,#VzlaRepudiaAlChavismo,trend-calendar
2016-04-10,us,1,#FIA2016,,#FIA2016,trend-calendar
2016-04-10,us,2,#ThinkBIGSundayWithMarsha,,#ThinkBIGSundayWithMarsha,trend-calendar
2016-04-10,us,3,#MambaDay,,#MambaDay,trend-calendar
2016-04-11,us,1,#AstrosHomeOpener,,#AstrosHomeOpener,trend-calendar
2016-04-11,us,2,#MeatlessMonday,,#MeatlessMonday,trend-calendar
2016-04-11,us,3,#CBMW16,,#CBMW16,trend-calendar
2016-04-12,us,1,#mcinvest,,#mcinvest,trend-calendar
2016-04-12,us,2,#TwoPaths,,#TwoPaths,trend-calendar
2016-04-12,us,3,#WeBuiltThis,,#WeBuiltThis,trend-calendar
2016-04-13,us,1,#varunsays,,#varunsays,trend-calendar
2016-04-13,us,2,#taggeekout,,#taggeekout,trend-calendar
2016-04-13,us,3,#mentalhealthnow,,#mentalhealthnow,trend-calendar
2016-04-14,us,1,#TheLuckyOne,,#TheLuckyOne,trend-calendar
2016-04-14,us,2,#lead3,,#lead3,trend-calendar
2016-04-14,us,3,#moviefightslive,,#moviefightslive,trend-calendar
2016-04-15,us,1,#inkkaslovesme,,#inkkaslovesme,trend-calendar
2016-04-15,us,2,#TedXnashville,,#TedXnashville,trend-calendar
2016-04-15,us,3,#IWANTDATVEVO,,#IWANTDATVEVO,trend-calendar
2016-04-16,us,1,#cutiesaturday,,#cutiesaturday,trend-calendar
2016-04-16,us,2,#ADay2016,,#ADay2016,trend-calendar
2016-04-16,us,3,#SXonFOX,,#SXonFOX,trend-calendar
2016-04-17,us,1,#Warzone5,,#Warzone5,trend-calendar
2016-04-17,us,2,#buyletmeloveyouonitunes,,#buyletmeloveyouonitunes,trend-calendar
2016-04-17,us,3,#tyleroakleytwittermeetup,,#tyleroakleytwittermeetup,trend-calendar
2016-04-18,us,1,#ForaDilmaFueraMaduro,,#ForaDilmaFueraMaduro,trend-calendar
2016-04-18,us,2,#MillennialMon,,#MillennialMon,trend-calendar
2016-04-18,us,3,#5HOutpeakedDemiParty,,#5HOutpeakedDemiParty,trend-calendar
2016-04-19,us,1,#SAPSFSummit16,,#SAPSFSummit16,trend-calendar
2016-04-19,us,2,#NEWMCI,,#NEWMCI,trend-calendar
2016-04-19,us,3,#ToGetReadyForSummerI,,#ToGetReadyForSummerI,trend-calendar
2016-04-20,us,1,#MyMiddleNameShouldBe,,#MyMiddleNameShouldBe,trend-calendar
2016-04-20,us,2,#sproutchat,,#sproutchat,trend-calendar
2016-04-20,us,3,#FakeNamesForStarbuckOrders,,#FakeNamesForStarbuckOrders,trend-calendar
2016-04-21,us,1,Keith Richards,,Keith Richards,trend-calendar
2016-04-21,us,2,Dear 2016,,Dear 2016,trend-calendar
2016-04-21,us,3,#TIME100,,#TIME100,trend-calendar
2016-04-22,us,1,#policedata,,#policedata,trend-calendar
2016-04-22,us,2,#ZarielReuniteParty,,#ZarielReuniteParty,trend-calendar
2016-04-22,us,3,#grayareafest,,#grayareafest,trend-calendar
2016-04-23,us,1,#MarchforBabies,,#MarchforBabies,trend-calendar
2016-04-23,us,2,#COYB,,#COYB,trend-calendar
2016-04-23,us,3,#HappyBirthdayJohnCena,,#HappyBirthdayJohnCena,trend-calendar
2016-04-24,us,1,#HappyBirthdayKehlani,,#HappyBirthdayKehlani,trend-calendar
2016-04-24,us,2,#SundayBlogShare,,#SundayBlogShare,trend-calendar
2016-04-24,us,3,#SmokeWillRise,,#SmokeWillRise,trend-calendar
2016-04-25,us,1,#AlecAppreciationDay,,#AlecAppreciationDay,trend-calendar
2016-04-25,us,2,#minnewebcon,,#minnewebcon,trend-calendar
2016-04-25,us,3,#meatlessmonday,,#meatlessmonday,trend-calendar
2016-04-26,us,1,#CecileRichardsForum,,#CecileRichardsForum,trend-calendar
2016-04-26,us,2,#ALBvsUTI,,#ALBvsUTI,trend-calendar
2016-04-26,us,3,#policypint,,#policypint,trend-calendar
2016-04-27,us,1,#askunderground,,#askunderground,trend-calendar
2016-04-27,us,2,#ThankYouCalvinKlein,,#ThankYouCalvinKlein,trend-calendar
2016-04-27,us,3,#svvr2016,,#svvr2016,trend-calendar
2016-04-28,us,1,#ideas2action,,#ideas2action,trend-calendar
2016-04-28,us,2,#BYKTWD,,#BYKTWD,trend-calendar
2016-04-28,us,3,#VegasUncorkd,,#VegasUncorkd,trend-calendar
2016-04-29,us,1,#NBCDFWStorms,,#NBCDFWStorms,trend-calendar
2016-04-29,us,2,#MalikPositivity,,#MalikPositivity,trend-calendar
2016-04-29,us,3,#FFC2016,,#FFC2016,trend-calendar
2016-04-30,us,1,#HappyBirthdayPapaH,,#HappyBirthdayPapaH,trend-calendar
2016-04-30,us,2,#PHIvSJ,,#PHIvSJ,trend-calendar
2016-04-30,us,3,#iHeartCountry,,#iHeartCountry,trend-calendar
2016-05-01,us,1,#PitinoGame,,#PitinoGame,trend-calendar
2016-05-01,us,2,#UBLRaid,,#UBLRaid,trend-calendar
2016-05-01,us,3,#DapperDay,,#DapperDay,trend-calendar
2016-05-02,us,1,#IReadYA,,#IReadYA,trend-calendar
2016-05-02,us,2,#AskNordicAmbs,,#AskNordicAmbs,trend-calendar
2016-05-02,us,3,#PutSorryOnVEVO,,#PutSorryOnVEVO,trend-calendar
2016-05-03,us,1,#AskNEYO,,#AskNEYO,trend-calendar
2016-05-03,us,2,#WhereIsLyinTed,,#WhereIsLyinTed,trend-calendar
2016-05-03,us,3,#Frisco5,,#Frisco5,trend-calendar
2016-05-04,us,1,#BH365,,#BH365,trend-calendar
2016-05-04,us,2,#BikeToSchoolDay,,#BikeToSchoolDay,trend-calendar
2016-05-04,us,3,#ReverseAMovie,,#ReverseAMovie,trend-calendar
2016-05-05,us,1,#startsomewhere,,#startsomewhere,trend-calendar
2016-05-05,us,2,#EBrandCon,,#EBrandCon,trend-calendar
2016-05-05,us,3,#morningrescue,,#morningrescue,trend-calendar
2016-05-06,us,1,#TiEcon,,#TiEcon,trend-calendar
2016-05-06,us,2,#PoliticiansSmellLike,,#PoliticiansSmellLike,trend-calendar
2016-05-06,us,3,#gifdanceoff,,#gifdanceoff,trend-calendar
2016-05-07,us,1,#bangbangcon,,#bangbangcon,trend-calendar
2016-05-07,us,2,#beyondprof,,#beyondprof,trend-calendar
2016-05-07,us,3,#WeAreMaineDems,,#WeAreMaineDems,trend-calendar
2016-05-08,us,1,#Barça,,#Barça,trend-calendar
2016-05-08,us,2,#ThinkBIGSundayWithMarsha,,#ThinkBIGSundayWithMarsha,trend-calendar
2016-05-08,us,3,#1MonthWithNCTU,,#1MonthWithNCTU,trend-calendar
2016-05-09,us,1,#OnceUponATime,,#OnceUponATime,trend-calendar
2016-05-09,us,2,#DinnerIn3Words,,#DinnerIn3Words,trend-calendar
2016-05-09,us,3,#CaneloKhan,,#CaneloKhan,trend-calendar
2016-05-10,us,1,#BeerAMovie,,#BeerAMovie,trend-calendar
2016-05-10,us,2,#PanistasSinMadre,,#PanistasSinMadre,trend-calendar
2016-05-10,us,3,#Keyholder16,,#Keyholder16,trend-calendar
2016-05-11,us,1,#NBCLearnChat,,#NBCLearnChat,trend-calendar
2016-05-11,us,2,#EatWhatYouWantDay,,#EatWhatYouWantDay,trend-calendar
2016-05-11,us,3,#RisingStar,,#RisingStar,trend-calendar
2016-05-12,us,1,#MuertesDeNacos,,#MuertesDeNacos,trend-calendar
2016-05-12,us,2,#APWNBA,,#APWNBA,trend-calendar
2016-05-12,us,3,#NBSV16,,#NBSV16,trend-calendar
2016-05-13,us,1,#NCAAWLAX,,#NCAAWLAX,trend-calendar
2016-05-13,us,2,#NCAATennis,,#NCAATennis,trend-calendar
2016-05-13,us,3,#NewMusicFriday,,#NewMusicFriday,trend-calendar
2016-05-14,us,1,#glaadawards,,#glaadawards,trend-calendar
2016-05-14,us,2,#sweetlife2016,,#sweetlife2016,trend-calendar
2016-05-14,us,3,#7on7nyc,,#7on7nyc,trend-calendar
2016-05-15,us,1,#CicLAvia,,#CicLAvia,trend-calendar
2016-05-15,us,2,#alyandajareback,,#alyandajareback,trend-calendar
2016-05-15,us,3,#FCEvNYC,,#FCEvNYC,trend-calendar
2016-05-16,us,1,#LCFCParade,,#LCFCParade,trend-calendar
2016-05-16,us,2,#puppydealers,,#puppydealers,trend-calendar
2016-05-16,us,3,#SAPPHIRENOW,,#SAPPHIRENOW,trend-calendar
2016-05-17,us,1,#NYCC,,#NYCC,trend-calendar
2016-05-17,us,2,#Steinhardt2016,,#Steinhardt2016,trend-calendar
2016-05-17,us,3,#MUNBOU,,#MUNBOU,trend-calendar
2016-05-18,us,1,#WellnessWed,,#WellnessWed,trend-calendar
2016-05-18,us,2,#iexplorechat,,#iexplorechat,trend-calendar
2016-05-18,us,3,#OPERAtionSouthBeach,,#OPERAtionSouthBeach,trend-calendar
2016-05-19,us,1,#ChivasLibre,,#ChivasLibre,trend-calendar
2016-05-19,us,2,#BayDay,,#BayDay,trend-calendar
2016-05-19,us,3,#OMNItalk,,#OMNItalk,trend-calendar
2016-05-20,us,1,#NYCC,,#NYCC,trend-calendar
2016-05-20,us,2,#ID2020,,#ID2020,trend-calendar
2016-05-20,us,3,#BioBlitz2016,,#BioBlitz2016,trend-calendar
2016-05-21,us,1,#satchat,,#satchat,trend-calendar
2016-05-21,us,2,#chapmanu,,#chapmanu,trend-calendar
2016-05-21,us,3,#ET94,,#ET94,trend-calendar
2016-05-22,us,1,#TrinitySunday,,#TrinitySunday,trend-calendar
2016-05-22,us,2,#FCBCLive,,#FCBCLive,trend-calendar
2016-05-22,us,3,#DateMyFamily,,#DateMyFamily,trend-calendar
2016-05-23,us,1,#IMDbAskScream,,#IMDbAskScream,trend-calendar
2016-05-23,us,2,#AurumFest,,#AurumFest,trend-calendar
2016-05-23,us,3,#TrafficBlockingShow,,#TrafficBlockingShow,trend-calendar
2016-05-24,us,1,#Little600,,#Little600,trend-calendar
2016-05-24,us,2,#TheNextLiberalOutrage,,#TheNextLiberalOutrage,trend-calendar
2016-05-24,us,3,#EmbraceTheMex,,#EmbraceTheMex,trend-calendar
2016-05-25,us,1,#TheFive,,#TheFive,trend-calendar
2016-05-25,us,2,#BABYSelcaDay,,#BABYSelcaDay,trend-calendar
2016-05-25,us,3,#OrlandoLogic,,#OrlandoLogic,trend-calendar
2016-05-26,us,1,#selfiefornash,,#selfiefornash,trend-calendar
2016-05-26,us,2,#GHOpen,,#GHOpen,trend-calendar
2016-05-26,us,3,#Hisense300,,#Hisense300,trend-calendar
2016-05-27,us,1,#14DaysTilBeSomebodyFilm,,#14DaysTilBeSomebodyFilm,trend-calendar
2016-05-27,us,2,#VZWBuzz,,#VZWBuzz,trend-calendar
2016-05-27,us,3,#VictorianEraModernTimes,,#VictorianEraModernTimes,trend-calendar
2016-05-28,us,1,#ICNA2016,,#ICNA2016,trend-calendar
2016-05-28,us,2,#xicanitx,,#xicanitx,trend-calendar
2016-05-28,us,3,#PreClassic,,#PreClassic,trend-calendar
2016-05-29,us,1,#MyOtherTwitterAccount,,#MyOtherTwitterAccount,trend-calendar
2016-05-29,us,2,#RIPMimaw,,#RIPMimaw,trend-calendar
2016-05-29,us,3,#RipGirls,,#RipGirls,trend-calendar
2016-05-30,us,1,#Harvey,,#Harvey,trend-calendar
2016-05-30,us,2,#Hatch,,#Hatch,trend-calendar
2016-05-30,us,3,#ElGorgojoDeMORENA,,#ElGorgojoDeMORENA,trend-calendar
2016-05-31,us,1,#ConMaduroATodaMarcha,,#ConMaduroATodaMarcha,trend-calendar
2016-05-31,us,2,#DiorCruise,,#DiorCruise,trend-calendar
2016-05-31,us,3,#bizheroes,,#bizheroes,trend-calendar
2016-06-01,us,1,#NCBD,,#NCBD,trend-calendar
2016-06-01,us,2,#halfnakedhouseparty,,#halfnakedhouseparty,trend-calendar
2016-06-01,us,3,#PawsToSavor,,#PawsToSavor,trend-calendar
2016-06-02,us,1,#SidneyCrosbyCheats,,#SidneyCrosbyCheats,trend-calendar
2016-06-02,us,2,#PokemonSunMoon,,#PokemonSunMoon,trend-calendar
2016-06-02,us,3,#bringonthefuture,,#bringonthefuture,trend-calendar
2016-06-03,us,1,#NiUnaMenos,,#NiUnaMenos,trend-calendar
2016-06-03,us,2,#Justice16,,#Justice16,trend-calendar
2016-06-03,us,3,#BuenViernes,,#BuenViernes,trend-calendar
2016-06-04,us,1,#csuftcs,,#csuftcs,trend-calendar
2016-06-04,us,2,#Justice16,,#Justice16,trend-calendar
2016-06-04,us,3,#NHLCombine,,#NHLCombine,trend-calendar
2016-06-05,us,1,#klovefanawards,,#klovefanawards,trend-calendar
2016-06-05,us,2,#FakeStanleyCupFacts,,#FakeStanleyCupFacts,trend-calendar
2016-06-05,us,3,#BigAssPoolParty,,#BigAssPoolParty,trend-calendar
2016-06-06,us,1,#3686South,,#3686South,trend-calendar
2016-06-06,us,2,#StateOfWomen,,#StateOfWomen,trend-calendar
2016-06-06,us,3,#social16,,#social16,trend-calendar
2016-06-07,us,1,#StrikeOutCancer,,#StrikeOutCancer,trend-calendar
2016-06-07,us,2,#NAHLDraft,,#NAHLDraft,trend-calendar
2016-06-07,us,3,#GlamourAwards,,#GlamourAwards,trend-calendar
2016-06-08,us,1,#SproutChat,,#SproutChat,trend-calendar
2016-06-08,us,2,#IGotTheCavs,,#IGotTheCavs,trend-calendar
2016-06-08,us,3,#NAREE16,,#NAREE16,trend-calendar
2016-06-09,us,1,#ChatSTC,,#ChatSTC,trend-calendar
2016-06-09,us,2,#ButFirstFolgers,,#ButFirstFolgers,trend-calendar
2016-06-09,us,3,#LiNC16,,#LiNC16,trend-calendar
2016-06-10,us,1,#brilliantminds2016,,#brilliantminds2016,trend-calendar
2016-06-10,us,2,#SLFLBarcelona,,#SLFLBarcelona,trend-calendar
2016-06-10,us,3,#cdnecon,,#cdnecon,trend-calendar
2016-06-11,us,1,#TheShield,,#TheShield,trend-calendar
2016-06-11,us,2,#OneYearSinceGhostMV,,#OneYearSinceGhostMV,trend-calendar
2016-06-11,us,3,#LesserKnownDisneyFlicks,,#LesserKnownDisneyFlicks,trend-calendar
2016-06-12,us,1,#OldTimersDay,,#OldTimersDay,trend-calendar
2016-06-12,us,2,#Beirut,,#Beirut,trend-calendar
2016-06-12,us,3,#3YearsWithBTS,,#3YearsWithBTS,trend-calendar
2016-06-13,us,1,#GrowingUpWithBrownSkin,,#GrowingUpWithBrownSkin,trend-calendar
2016-06-13,us,2,#gettingtoknowReedfans,,#gettingtoknowReedfans,trend-calendar
2016-06-13,us,3,#HowToFitInAtWork,,#HowToFitInAtWork,trend-calendar
2016-06-14,us,1,#TriviaTuesday,,#TriviaTuesday,trend-calendar
2016-06-14,us,2,#ScottieFeedback,,#ScottieFeedback,trend-calendar
