topic,days_seen,first_seen,last_seen
#WednesdayWisdom,124,2017-05-24,2020-09-09
#MondayMotivation,121,2017-07-03,2025-10-27
#TuesdayThoughts,120,2017-05-09,2020-04-14
#ThursdayThoughts,114,2017-03-23,2020-06-25
#SundayMorning,70,2017-03-19,2019-12-29
#FridayFeeling,62,2017-01-20,2021-04-30
#SaturdayMorning,46,2017-10-14,2019-05-18
#sundayvibes,30,2020-04-26,2025-08-03
Lakers,30,2020-10-12,2025-10-22
Drake,25,2018-03-15,2025-08-13
#FlashbackFriday,22,2017-01-20,2018-09-14
#saturdaymorning,22,2017-03-18,2017-11-04
Kanye,21,2018-09-21,2025-03-19
#tuesdayvibe,20,2021-07-06,2024-02-20
#PortfolioDay,19,2019-07-09,2025-04-08
Happy New Year,19,2017-12-31,2025-01-01
Eid Mubarak,18,2017-09-01,2025-06-06
#TuesdayMotivation,16,2017-03-21,2019-04-16
Bama,16,2021-09-04,2024-12-08
#mondaythoughts,14,2019-01-07,2023-09-25
Cardi,14,2018-12-16,2025-09-19
Dodgers,14,2020-10-14,2025-10-02
Meek,14,2017-07-21,2024-02-28
Putin,14,2021-03-18,2025-08-16
Thanksgiving,14,2020-11-25,2024-11-28
#SundayThoughts,13,2019-01-06,2020-02-23
#wednesdaythought,13,2021-02-24,2024-03-27
Tariq,13,2018-07-01,2024-10-04
Kendrick,12,2021-08-27,2024-11-22
Supreme Court,12,2020-09-19,2025-05-17
#PitMad,11,2018-06-07,2021-12-02
#SaturdayThoughts,11,2019-01-05,2019-10-19
Canelo,11,2018-09-16,2025-05-04
Christmas,11,2020-11-01,2024-12-25
Clippers,11,2020-11-21,2025-09-03
Colorado,11,2023-09-02,2024-12-29
Don Lemon,11,2018-08-04,2025-09-15
Durk,11,2020-06-26,2025-03-28
Happy Easter,11,2017-04-16,2025-04-20
Labor Day,11,2020-09-04,2025-09-01
Liz Cheney,11,2019-05-26,2024-11-01
Pence,11,2022-02-05,2025-05-05
April Fools,10,2018-04-01,2025-04-01
AR-15,10,2019-09-01,2025-07-29
Bill Maher,10,2017-06-03,2025-04-12
Epstein,10,2019-07-07,2025-07-08
Halloween,10,2020-10-01,2025-10-31
Happy Halloween,10,2017-10-01,2023-10-31
Jungkook,10,2021-01-09,2025-07-14
Kyrie,10,2021-01-12,2025-03-04
Luka,10,2020-08-09,2025-10-25
Michigan,10,2021-10-30,2025-01-21
Nicki,10,2018-10-29,2025-09-30
